ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4
1318703501996913795!,thoughtful-zippy-butterfly,0.000000,-2.109967,-0.053881,-0.109997,-0.042874,0.125313,-0.484042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-460.851144,-392.223780,142.243020,505.128319
1318703501996913795!,thoughtful-zippy-butterfly,0.010000,-2.108363,-0.036445,-0.108371,-0.042217,0.126077,-0.483844,0.332961,3.481917,0.323290,0.130632,0.151663,0.039519,-192.278970,-199.025628,62.728272,286.796404
1318703501996913795!,thoughtful-zippy-butterfly,0.020000,-2.103424,0.006708,-0.103981,-0.040453,0.128164,-0.483295,0.668966,5.142135,0.552900,0.221323,0.264513,0.070146,-62.559720,-103.876992,24.231396,177.531620
1318703501996913795!,thoughtful-zippy-butterfly,0.030000,-2.095066,0.061978,-0.097561,-0.037896,0.131263,-0.482462,1.009780,5.903879,0.729057,0.289335,0.354100,0.096340,-1.942927,-55.967625,5.927992,119.087988
1318703501996913795!,thoughtful-zippy-butterfly,0.040000,-2.083359,0.122611,-0.089558,-0.034732,0.135174,-0.481381,1.332239,6.215202,0.868775,0.342325,0.426360,0.119724,24.984753,-31.191443,-2.530068,85.627406
1318703501996913795!,thoughtful-zippy-butterfly,0.050000,-2.068561,0.185192,-0.080290,-0.031092,0.139739,-0.480076,1.624050,6.296639,0.980907,0.384304,0.484459,0.141015,35.700833,-17.896572,-6.212891,64.946400
1318703501996913795!,thoughtful-zippy-butterfly,0.060000,-2.051006,0.247966,-0.070008,-0.027073,0.144828,-0.478566,1.881694,6.258123,1.070810,0.417635,0.530542,0.160557,38.723042,-10.389636,-7.590382,51.069620
1318703501996913795!,thoughtful-zippy-butterfly,0.070000,-2.031039,0.310006,-0.058916,-0.022755,0.150327,-0.476867,2.105796,6.155311,1.142084,0.443834,0.566251,0.178504,38.179407,-5.867892,-7.863549,41.007917
1318703501996913795!,thoughtful-zippy-butterfly,0.080000,-2.008991,0.370810,-0.047189,-0.018205,0.156139,-0.474995,2.298518,6.017032,1.197372,0.463958,0.592934,0.194908,36.065454,-2.941350,-7.616325,33.240833
1318703501996913795!,thoughtful-zippy-butterfly,0.090000,-1.985169,0.430098,-0.034979,-0.013480,0.162179,-0.472967,2.462442,5.858750,1.238751,0.478803,0.611751,0.209767,33.343792,-0.913426,-7.132743,26.979093
1318703501996913795!,thoughtful-zippy-butterfly,0.100000,-1.959852,0.487718,-0.022421,-0.008631,0.168370,-0.470799,2.600173,5.689162,1.267950,0.489007,0.623730,0.223062,30.476799,0.571647,-6.551088,21.798341
1318703501996913795!,thoughtful-zippy-butterfly,0.110000,-1.933292,0.543585,-0.009630,-0.003704,0.174647,-0.468506,2.714196,5.513474,1.286456,0.495114,0.629793,0.234771,27.683597,1.701010,-5.938590,17.457743
1318703501996913795!,thoughtful-zippy-butterfly,0.120000,-1.905719,0.597658,0.003290,0.001264,0.180955,-0.466106,2.806842,5.335014,1.295584,0.497604,0.630777,0.244885,25.064512,2.577995,-5.327792,13.808977
1318703501996913795!,thoughtful-zippy-butterfly,0.130000,-1.877334,0.649925,0.016251,0.006237,0.187247,-0.463615,2.880295,5.156050,1.296509,0.496911,0.627439,0.253413,22.661530,3.264053,-4.734304,10.750440
1318703501996913795!,thoughtful-zippy-butterfly,0.140000,-1.848322,0.700391,0.029175,0.011185,0.193481,-0.461048,2.936585,4.978202,1.290282,0.493433,0.620465,0.260381,20.487640,3.799135,-4.165396,8.205001
