ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4
790691363450493838!,talented-zippy-butterfly,0.000000,-0.000349,2.144941,-0.918189,1.747991,-0.600088,0.799934,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,63.287758,-151.039903,137.095728,587.264856
790691363450493838!,talented-zippy-butterfly,0.010000,0.000148,2.136230,-0.920675,1.746250,-0.602263,0.798298,0.094280,-1.740208,-0.495382,-0.347893,-0.433644,-0.327156,13.977937,-135.812710,108.882443,458.480349
790691363450493838!,talented-zippy-butterfly,0.020000,0.001744,2.111420,-0.927309,1.741475,-0.608263,0.793735,0.213859,-3.219975,-0.826863,-0.606382,-0.763403,-0.585019,-18.318840,-121.547142,87.105007,360.347442
790691363450493838!,talented-zippy-butterfly,0.030000,0.004403,2.072834,-0.936606,1.734451,-0.617140,0.786853,0.302772,-4.494186,-1.026724,-0.796991,-1.008200,-0.790746,-43.807932,-108.176424,68.181968,275.939399
790691363450493838!,talented-zippy-butterfly,0.040000,0.007685,2.022436,-0.947313,1.725822,-0.628087,0.778143,0.337615,-5.586919,-1.109418,-0.927961,-1.178480,-0.951225,-67.506013,-95.564670,50.270017,196.598946
790691363450493838!,talented-zippy-butterfly,0.050000,0.011029,1.961983,-0.958288,1.716172,-0.640396,0.768045,0.314030,-6.504127,-1.081466,-1.001212,-1.281031,-1.068123,-91.208491,-83.584322,32.628874,118.942870
790691363450493838!,talented-zippy-butterfly,0.060000,0.013883,1.893237,-0.968447,1.706079,-0.653418,0.756997,0.238399,-7.243337,-0.947868,-1.016990,-1.322120,-1.141215,-114.844006,-72.199710,15.223924,42.923185
790691363450493838!,talented-zippy-butterfly,0.070000,0.015782,1.817992,-0.976762,1.696113,-0.666575,0.745438,0.122804,-7.800785,-0.715154,-0.976732,-1.308956,-1.170478,-137.368567,-61.501153,-1.552921,-29.521384
790691363450493838!,talented-zippy-butterfly,0.080000,0.016394,1.738070,-0.982291,1.686812,-0.679368,0.733797,-0.018315,-8.176555,-0.392562,-0.884811,-1.250118,-1.157392,-157.397031,-51.683305,-17.118360,-95.569146
790691363450493838!,talented-zippy-butterfly,0.090000,0.015537,1.655258,-0.984189,1.678657,-0.691388,0.722484,-0.170421,-8.377600,0.008122,-0.749337,-1.155343,-1.105616,-173.630759,-42.983264,-30.897922,-152.421966
790691363450493838!,talented-zippy-butterfly,0.100000,0.013172,1.571242,-0.981736,1.672029,-0.702324,0.711858,-0.320391,-8.418415,0.473455,-0.582057,-1.034834,-1.020974,-185.106909,-35.608306,-42.472952,-197.953781
790691363450493838!,talented-zippy-butterfly,0.110000,0.009380,1.487526,-0.974351,1.667176,-0.711968,0.702212,-0.457244,-8.319955,0.989545,-0.397590,-0.898481,-0.910963,-191.284899,-29.679225,-51.656715,-231.038321
790691363450493838!,talented-zippy-butterfly,0.120000,0.004344,1.405385,-0.961585,1.664191,-0.720206,0.693760,-0.572270,-8.107509,1.543128,-0.212313,-0.755197,-0.783985,-192.012578,-25.205861,-58.499400,-251.568972
790691363450493838!,talented-zippy-butterfly,0.130000,-0.001676,1.325826,-0.943119,1.662998,-0.727007,0.686630,-0.658766,-7.808326,2.122264,-0.043208,-0.612509,-0.648529,-187.422742,-22.095439,-63.238920,-260.251507
790691363450493838!,talented-zippy-butterfly,0.140000,-0.008429,1.249561,-0.918813,1.663324,-0.732425,0.680848,-0.711571,-7.449475,2.716545,0.093247,-0.476408,-0.512498,-177.809005,-20.183548,-66.224627,-258.286272
790691363450493838!,talented-zippy-butterfly,0.150000,-0.015557,1.177052,-0.888561,1.664765,-0.736547,0.676387,-0.726843,-7.056914,3.316981,0.181515,-0.351437,-0.382695,-163.536540,-19.269219,-67.844845,-247.086300
790691363450493838!,talented-zippy-butterfly,0.160000,-0.022665,1.108519,-0.852336,1.666772,-0.739498,0.673158,-0.701781,-6.654744,3.915535,0.207476,-0.240799,-0.264530,-144.977468,-19.149710,-68.462717,-228.036021
790691363450493838!,talented-zippy-butterfly,0.170000,-0.029337,1.043947,-0.810191,1.668660,-0.741433,0.671027,-0.634778,-6.265161,4.504504,0.158633,-0.146547,-0.161923,-122.505245,-19.641654,-68.380922,-202.387216
790691363450493838!,talented-zippy-butterfly,0.180000,-0.035161,0.983104,-0.762270,1.669627,-0.742522,0.669822,-0.525774,-5.908518,5.075919,0.024341,-0.069724,-0.077292,-96.525267,-20.590617,-67.824449,-171.246129
790691363450493838!,talented-zippy-butterfly,0.190000,-0.039706,0.925577,-0.708772,1.668780,-0.742935,0.669364,-0.376661,-5.603369,5.621096,-0.203914,-0.010285,-0.011416,-67.528486,-21.872382,-66.930088,-135.612891
790691363450493838!,talented-zippy-butterfly,0.200000,-0.042581,0.870764,-0.649998,1.665147,-0.742842,0.669466,-0.192095,-5.366382,6.130049,-0.532219,0.032747,0.036337,-36.187229,-23.378661,-65.762941,-96.540721
790691363450493838!,talented-zippy-butterfly,0.210000,-0.043451,0.817922,-0.586353,1.657718,-0.742391,0.669967,0.020373,-5.211491,6.591572,-0.963414,0.061511,0.068161,-3.413839,-25.009361,-64.306903,-55.200410
790691363450493838!,talented-zippy-butterfly,0.220000,-0.042104,0.766165,-0.518386,1.645457,-0.741716,0.670714,0.249488,-5.149276,6.992758,-1.496681,0.079008,0.087371,29.538686,-26.644099,-62.497459,-13.098874
790691363450493838!,talented-zippy-butterfly,0.230000,-0.038442,0.714540,-0.446769,1.627376,-0.740903,0.671612,0.481085,-5.185437,7.319765,-2.126379,0.089490,0.098723,61.080918,-28.138779,-60.200304,27.952360
790691363450493838!,talented-zippy-butterfly,0.240000,-0.032524,0.662062,-0.372316,1.602563,-0.739997,0.672610,0.698324,-5.319710,7.558080,-2.841360,0.098237,0.108079,89.283614,-29.306707,-57.239188,65.751762
790691363450493838!,talented-zippy-butterfly,0.250000,-0.024581,0.607791,-0.295983,1.570257,-0.738976,0.673732,0.883077,-5.544711,7.693608,-3.624237,0.111469,0.122263,111.986583,-29.919835,-53.407434,97.810998
790691363450493838!,talented-zippy-butterfly,0.260000,-0.015035,0.550881,-0.218867,1.529887,-0.737769,0.675053,1.017058,-5.845277,7.713572,-4.451043,0.136043,0.148682,126.967468,-29.709723,-48.517958,121.462224
790691363450493838!,talented-zippy-butterfly,0.270000,-0.004462,0.490694,-0.142164,1.481168,-0.736219,0.676743,1.084717,-6.198676,7.608640,-5.291679,0.179142,0.194886,132.261728,-28.406488,-42.421615,134.256348
790691363450493838!,talented-zippy-butterfly,0.280000,0.006416,0.426842,-0.067152,1.424132,-0.734106,0.679034,1.074659,-6.575736,7.374097,-6.111044,0.247788,0.267884,126.472223,-25.764456,-35.085701,134.228478
790691363450493838!,talented-zippy-butterfly,0.290000,0.016811,0.359269,0.004891,1.359198,-0.731129,0.682239,0.982299,-6.943494,7.011698,-6.871620,0.348238,0.373194,109.123427,-21.617402,-26.620699,120.352880
