ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3
2075834566211221747!,talented-ruddy-butterfly,0.000000,-1.806083,-1.588326,-1.644270,-0.601505,-0.656073,-0.754697,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,334.345694,247.409675,-3.416351
2075834566211221747!,talented-ruddy-butterfly,0.010000,-1.805877,-1.581110,-1.645058,-0.594126,-0.657792,-0.753200,0.042417,1.441994,-0.154886,1.474142,-0.344001,0.300427,283.988652,193.463629,-13.747600
2075834566211221747!,talented-ruddy-butterfly,0.020000,-1.804694,-1.560770,-1.646950,-0.573290,-0.662516,-0.749048,0.197936,2.624065,-0.216315,2.690239,-0.601619,0.532119,243.173353,149.690723,-22.006698
2075834566211221747!,talented-ruddy-butterfly,0.030000,-1.801459,-1.529645,-1.648989,-0.541337,-0.669497,-0.742815,0.454258,3.595925,-0.182171,3.694109,-0.794705,0.716264,209.690090,114.945496,-27.755042
2075834566211221747!,talented-ruddy-butterfly,0.040000,-1.795277,-1.489639,-1.650258,-0.500211,-0.678185,-0.734891,0.789230,4.395333,-0.060405,4.519862,-0.941779,0.869110,181.582446,87.790536,-30.979615
2075834566211221747!,talented-ruddy-butterfly,0.050000,-1.785461,-1.442338,-1.649929,-0.451565,-0.688190,-0.725531,1.177803,5.049436,0.136127,5.191931,-1.057209,1.002798,157.269665,66.881975,-31.852947
2075834566211221747!,talented-ruddy-butterfly,0.060000,-1.771599,-1.389090,-1.647329,-0.396841,-0.699251,-0.714877,1.594169,5.577476,0.391729,5.728071,-1.151829,1.126651,135.574313,51.065539,-30.649465
2075834566211221747!,talented-ruddy-butterfly,0.070000,-1.753535,-1.331078,-1.641949,-0.337324,-0.711202,-0.702987,2.013994,5.993093,0.689549,6.141811,-1.233230,1.247641,115.720139,39.412635,-27.698370
2075834566211221747!,talented-ruddy-butterfly,0.080000,-1.731355,-1.269379,-1.633454,-0.274183,-0.723942,-0.689861,2.415642,6.306624,1.012635,6.444642,-1.306276,1.370811,97.288513,31.182138,-23.371172
2075834566211221747!,talented-ruddy-butterfly,0.090000,-1.705358,-1.205008,-1.621681,-0.208515,-0.737396,-0.675461,2.781195,6.526985,1.344865,6.647596,-1.373571,1.499517,80.149465,25.767990,-18.071570
2075834566211221747!,talented-ruddy-butterfly,0.100000,-1.675992,-1.138861,-1.606619,-0.141270,-0.751511,-0.659720,3.096840,6.663163,1.671865,6.762257,-1.436175,1.635998,64.366966,22.634561,-12.224097
2075834566211221747!,talented-ruddy-butterfly,0.110000,-1.643817,-1.071738,-1.588387,-0.073275,-0.766242,-0.642553,3.353502,6.724934,1.981790,6.801086,-1.493920,1.781494,50.107484,21.294811,-6.241009
2075834566211221747!,talented-ruddy-butterfly,0.120000,-1.609453,-1.004335,-1.567207,-0.005228,-0.781531,-0.623866,3.546922,6.723057,2.265858,6.777225,-1.545772,1.936424,37.553915,21.300804,-0.488473
2075834566211221747!,talented-ruddy-butterfly,0.130000,-1.573472,-0.937274,-1.543343,0.062272,-0.797282,-0.603606,3.677078,6.668928,2.518414,6.703854,-1.590225,2.100473,26.843730,22.253161,4.742140
2075834566211221747!,talented-ruddy-butterfly,0.140000,-1.536465,-0.870998,-1.517113,0.128815,-0.813415,-0.581684,3.747774,6.574299,2.737057,6.593862,-1.625500,2.273064,18.018223,23.794761,9.251965
2075834566211221747!,talented-ruddy-butterfly,0.150000,-1.498987,-0.805839,-1.488852,0.194109,-0.829831,-0.558015,3.765697,6.450437,2.922125,6.458987,-1.649620,2.453167,11.019010,25.632804,12.940450
2075834566211221747!,talented-ruddy-butterfly,0.160000,-1.461522,-0.742031,-1.458883,0.257965,-0.846412,-0.532528,3.739262,6.307561,3.076038,6.309312,-1.660597,2.639391,5.699592,27.540428,15.794010
2075834566211221747!,talented-ruddy-butterfly,0.170000,-1.424473,-0.679714,-1.427500,0.320281,-0.863022,-0.505167,3.677554,6.154441,3.202612,6.153004,-1.656574,2.830076,1.850657,29.351999,17.866074
2075834566211221747!,talented-ruddy-butterfly,0.180000,-1.388153,-0.618952,-1.394957,0.381025,-0.879503,-0.475893,3.589481,5.998188,3.306404,5.996262,-1.635916,3.023356,-0.769880,30.953955,19.254016
2075834566211221747!,talented-ruddy-butterfly,0.190000,-1.352791,-0.559747,-1.361460,0.440215,-0.895685,-0.444688,3.483188,5.844224,3.392186,5.843435,-1.597272,3.217205,-2.409360,32.273542,20.077515
2075834566211221747!,talented-ruddy-butterfly,0.200000,-1.318543,-0.502054,-1.327170,0.497909,-0.911385,-0.411554,3.365750,5.696403,3.464578,5.697256,-1.539609,3.409461,-3.300854,33.267608,20.461922
2075834566211221747!,talented-ruddy-butterfly,0.210000,-1.285497,-0.445798,-1.292204,0.554180,-0.926410,-0.376516,3.242905,5.557175,3.527726,5.559085,-1.462258,3.597857,-3.646447,33.913625,20.524019
2075834566211221747!,talented-ruddy-butterfly,0.220000,-1.253693,-0.390884,-1.256641,0.609112,-0.940562,-0.339621,3.119198,5.427851,3.585234,5.429225,-1.364911,3.780043,-3.615902,34.202307,20.367373
2075834566211221747!,talented-ruddy-butterfly,0.230000,-1.223130,-0.337208,-1.220524,0.662789,-0.953643,-0.300941,2.998014,5.308827,3.640077,5.307154,-1.247642,3.953618,-3.344582,34.133380,20.078227
2075834566211221747!,talented-ruddy-butterfly,0.240000,-1.193779,-0.284666,-1.183874,0.715285,-0.965455,-0.260570,2.881697,5.199814,3.694575,5.191762,-1.110930,4.116177,-2.935718,33.712861,19.724577
2075834566211221747!,talented-ruddy-butterfly,0.250000,-1.165580,-0.233163,-1.146683,0.766659,-0.975807,-0.218634,2.771715,5.100042,3.750424,5.081544,-0.955678,4.265380,-2.466160,32.952627,19.357979
2075834566211221747!,talented-ruddy-butterfly,0.260000,-1.138421,-0.182622,-1.108909,0.816942,-0.984517,-0.175291,2.668766,5.008418,3.808713,4.974761,-0.783247,4.399084,-1.992018,31.871953,19.015894
2075834566211221747!,talented-ruddy-butterfly,0.270000,-1.112238,-0.132968,-1.070528,0.866162,-0.991421,-0.130705,2.573079,4.923703,3.870058,4.869560,-0.595265,4.515211,-1.551930,30.491177,18.722641
