ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3,U4
1957367678355058063!,great-proficient-bumblebee,0.000000,-1.422876,2.541181,0.000000,2.541181,0.000000,0.000000,0.000000,0.000000,-79.250713,-2.412791,92.138773,62.635377
1957367678355058063!,great-proficient-bumblebee,0.010000,-1.417773,2.534325,0.000000,2.534325,1.020534,-1.371102,0.000000,-1.371102,-68.867978,-2.513899,79.529622,54.423393
1957367678355058063!,great-proficient-bumblebee,0.020000,-1.403116,2.514634,0.000000,2.514634,1.909063,-2.564854,0.000000,-2.564854,-59.574183,-2.604403,68.242918,47.072681
1957367678355058063!,great-proficient-bumblebee,0.030000,-1.380146,2.483772,0.000000,2.483772,2.679432,-3.599856,0.000000,-3.599856,-51.261048,-2.685357,58.147159,40.497599
1957367678355058063!,great-proficient-bumblebee,0.040000,-1.349975,2.443237,0.000000,2.443237,3.344108,-4.492859,0.000000,-4.492859,-43.830961,-2.757712,49.123806,34.620944
1957367678355058063!,great-proficient-bumblebee,0.050000,-1.313600,2.394367,0.000000,2.394367,3.914320,-5.258947,0.000000,-5.258947,-37.195903,-2.822325,41.065964,29.373098
1957367678355058063!,great-proficient-bumblebee,0.060000,-1.271915,2.338362,0.000000,2.338362,4.400174,-5.911699,0.000000,-5.911699,-31.276510,-2.879968,33.877248,24.691291
1957367678355058063!,great-proficient-bumblebee,0.070000,-1.225719,2.276298,0.000000,2.276298,4.810770,-6.463341,0.000000,-6.463341,-26.001228,-2.931340,27.470765,20.518929
1957367678355058063!,great-proficient-bumblebee,0.080000,-1.175728,2.209134,0.000000,2.209134,5.154297,-6.924874,0.000000,-6.924874,-21.305556,-2.977067,21.768179,16.804995
1957367678355058063!,great-proficient-bumblebee,0.090000,-1.122613,2.137773,0.000000,2.137773,5.438124,-7.306199,0.000000,-7.306199,-17.132132,-3.017708,16.699828,13.504122
