ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3,U4
643414577159300524!,great-wine-beetle,0.000000,0.082488,-1.440334,-1.271769,-0.795363,0.000000,0.000000,0.000000,0.000000,-429.416218,-412.794371,-16.134543,333.595189
643414577159300524!,great-wine-beetle,0.010000,0.090909,-1.427661,-1.270357,-0.797617,1.669497,2.534518,0.285771,-0.455145,-283.335943,-237.272075,34.606192,220.620158
643414577159300524!,great-wine-beetle,0.020000,0.111282,-1.393405,-1.267366,-0.802362,2.380459,4.316555,0.315948,-0.499054,-198.068713,-140.016833,57.522386,154.601193
643414577159300524!,great-wine-beetle,0.030000,0.135952,-1.343604,-1.264645,-0.806643,2.529718,5.635247,0.230645,-0.361602,-146.753833,-87.832504,63.132537,114.778223
643414577159300524!,great-wine-beetle,0.040000,0.160561,-1.282229,-1.262939,-0.809312,2.374692,6.636953,0.111797,-0.174460,-113.511108,-59.535185,59.664258,88.900354
643414577159300524!,great-wine-beetle,0.050000,0.182802,-1.212038,-1.262371,-0.810198,2.060753,7.400107,0.002165,-0.003373,-89.867227,-43.451402,51.984977,70.436150
643414577159300524!,great-wine-beetle,0.060000,0.201483,-1.135170,-1.262757,-0.809595,1.666280,7.969855,-0.078573,0.122554,-71.536962,-33.567888,42.697636,56.084041
643414577159300524!,great-wine-beetle,0.070000,0.216019,-1.053420,-1.263770,-0.808013,1.233320,8.375006,-0.123543,0.193228,-56.419425,-26.884190,33.145887,44.226149
643414577159300524!,great-wine-beetle,0.080000,0.226145,-0.968253,-1.265054,-0.806001,0.784670,8.635932,-0.132368,0.207758,-43.505496,-21.926732,24.016863,34.085827
643414577159300524!,great-wine-beetle,0.090000,0.231769,-0.881185,-1.266250,-0.804121,0.334359,8.769338,-0.108021,0.170100,-32.293599,-17.932378,15.691686,25.277493
643414577159300524!,great-wine-beetle,0.100000,0.232909,-0.793368,-1.267062,-0.802842,-0.109815,8.789378,-0.054849,0.086564,-22.516528,-14.508793,8.355070,17.595530
643414577159300524!,great-wine-beetle,0.110000,0.229655,-0.705853,-1.267223,-0.802587,-0.542816,8.709008,0.022264,-0.035153,-13.980460,-11.402552,2.100816,10.890335
643414577159300524!,great-wine-beetle,0.120000,0.222140,-0.619586,-1.266518,-0.803700,-0.960900,8.540103,0.118392,-0.186569,-6.510729,-8.418267,-3.029074,5.026618
643414577159300524!,great-wine-beetle,0.130000,0.210530,-0.535397,-1.264781,-0.806430,-1.360801,8.293477,0.228710,-0.358702,0.066457,-5.385572,-7.023816,-0.130586
643414577159300524!,great-wine-beetle,0.140000,0.195026,-0.454021,-1.261891,-0.810945,-1.739099,7.979109,0.348540,-0.542353,5.925625,-2.147167,-9.890354,-4.717011
643414577159300524!,great-wine-beetle,0.150000,0.175867,-0.376096,-1.257773,-0.817318,-2.091835,7.606270,0.473227,-0.728251,11.228625,1.434176,-11.646274,-8.858657
643414577159300524!,great-wine-beetle,0.160000,0.153338,-0.302170,-1.252399,-0.825528,-2.414316,7.183890,0.598042,-0.907282,16.111851,5.466009,-12.316833,-12.661825
643414577159300524!,great-wine-beetle,0.170000,0.127775,-0.232708,-1.245791,-0.835467,-2.701151,6.720969,0.718072,-1.070739,20.673655,10.013661,-11.936005,-16.203343
643414577159300524!,great-wine-beetle,0.180000,0.099579,-0.168094,-1.238016,-0.846945,-2.946504,6.226983,0.828179,-1.210585,24.964930,15.088341,-10.550506,-19.523294
643414577159300524!,great-wine-beetle,0.190000,0.069230,-0.108637,-1.229197,-0.859694,-3.144539,5.712247,0.923025,-1.319748,28.983068,20.636756,-8.225913,-22.620389
643414577159300524!,great-wine-beetle,0.200000,0.037305,-0.054592,-1.219511,-0.873381,-3.289942,5.188231,0.997202,-1.392403,32.666102,26.529499,-5.054603,-25.447498
643414577159300524!,great-wine-beetle,0.210000,0.004264,-0.005840,-1.209242,-0.887544,-3.379464,4.665715,1.045918,-1.425020,35.951912,32.628075,-1.140486,-27.957507
643414577159300524!,great-wine-beetle,0.220000,-0.029383,0.037788,-1.198684,-0.901752,-3.411696,4.155794,1.064671,-1.415249,38.758561,38.757263,3.388995,-30.088158
643414577159300524!,great-wine-beetle,0.230000,-0.063071,0.076480,-1.188153,-0.915583,-3.387179,3.669611,1.049589,-1.362053,40.981786,44.702546,8.382560,-31.760110
643414577159300524!,great-wine-beetle,0.240000,-0.096249,0.110531,-1.177998,-0.928613,-3.308787,3.217373,0.997896,-1.265887,42.524943,50.245653,13.674935,-32.900102
643414577159300524!,great-wine-beetle,0.250000,-0.128502,0.140406,-1.168550,-0.940474,-3.181887,2.807129,0.908198,-1.128446,43.352036,55.227386,19.104118,-33.481974
643414577159300524!,great-wine-beetle,0.260000,-0.159390,0.166540,-1.160160,-0.950804,-3.013106,2.445486,0.780416,-0.952256,43.419343,59.480611,24.507163,-33.473574
643414577159300524!,great-wine-beetle,0.270000,-0.188475,0.189380,-1.153210,-0.959222,-2.810219,2.137172,0.616011,-0.740590,42.690747,62.852202,29.730042,-32.848559
643414577159300524!,great-wine-beetle,0.280000,-0.215434,0.209442,-1.148056,-0.965384,-2.581976,1.884391,0.418027,-0.497127,41.186771,65.260463,34.642755,-31.624343
643414577159300524!,great-wine-beetle,0.290000,-0.240042,0.227266,-1.145018,-0.968986,-2.337277,1.687017,0.190882,-0.225559,38.972011,66.687665,39.144804,-29.852263
643414577159300524!,great-wine-beetle,0.300000,-0.262168,0.243391,-1.144365,-0.969758,-2.084490,1.542963,-0.059910,0.070697,36.143568,67.170951,43.167379,-27.608568
643414577159300524!,great-wine-beetle,0.310000,-0.281761,0.258328,-1.146306,-0.967462,-1.830935,1.448665,-0.328035,0.388675,32.819129,66.790310,46.672168,-24.985164
643414577159300524!,great-wine-beetle,0.320000,-0.298838,0.272552,-1.150988,-0.961887,-1.582548,1.399600,-0.606670,0.725938,29.125371,65.654733,49.647447,-22.080646
643414577159300524!,great-wine-beetle,0.330000,-0.313470,0.286490,-1.158486,-0.952844,-1.343736,1.390786,-0.888756,1.080566,25.189329,63.889683,52.102307,-18.993655
643414577159300524!,great-wine-beetle,0.340000,-0.325766,0.300522,-1.168803,-0.940159,-1.117349,1.417193,-1.167213,1.451075,21.130014,61.624265,54.060170,-15.816430
643414577159300524!,great-wine-beetle,0.350000,-0.335857,0.314977,-1.181874,-0.923674,-0.904775,1.474046,-1.435105,1.836269,17.053117,58.981362,55.552451,-12.630771
643414577159300524!,great-wine-beetle,0.360000,-0.343881,0.330141,-1.197565,-0.903237,-0.706104,1.557006,-1.685754,2.235072,13.048035,56.070526,56.612956,-9.505785
643414577159300524!,great-wine-beetle,0.370000,-0.349973,0.346262,-1.215676,-0.878710,-0.520328,1.662247,-1.912813,2.646333,9.186822,52.983517,57.273399,-6.497121
643414577159300524!,great-wine-beetle,0.380000,-0.354254,0.363550,-1.235944,-0.849966,-0.345563,1.786441,-2.110322,3.068643,5.524555,49.792111,57.560127,-3.647293
643414577159300524!,great-wine-beetle,0.390000,-0.356823,0.382188,-1.258050,-0.816891,-0.179268,1.926685,-2.272753,3.500146,2.100601,46.547656,57.492031,-0.986689
643414577159300524!,great-wine-beetle,0.400000,-0.357754,0.402332,-1.281618,-0.779394,-0.018462,2.080377,-2.395059,3.938383,-1.059669,43.281855,57.079498,1.465089
643414577159300524!,great-wine-beetle,0.410000,-0.357087,0.424113,-1.306226,-0.737410,0.140067,2.245087,-2.472748,4.380149,-3.943059,40.008339,56.324242,3.697803
643414577159300524!,great-wine-beetle,0.420000,-0.354833,0.447643,-1.331406,-0.690911,0.299556,2.418423,-2.501978,4.821384,-6.546808,36.724721,55.219865,5.709233
643414577159300524!,great-wine-beetle,0.430000,-0.350970,0.473012,-1.356656,-0.639911,0.463069,2.597910,-2.479687,5.257111,-8.877042,33.414950,53.753035,7.503993
643414577159300524!,great-wine-beetle,0.440000,-0.345454,0.500263,-1.381423,-0.584526,0.633250,2.780852,-2.403992,5.681404,-10.945887,30.053424,51.905317,9.091301
643414577159300524!,great-wine-beetle,0.450000,-0.338219,0.529325,-1.405093,-0.525085,0.812000,2.964113,-2.274909,6.087510,-12.775238,26.605100,49.657843,10.487962
643414577159300524!,great-wine-beetle,0.460000,-0.329169,0.560202,-1.427153,-0.461772,1.000593,3.144560,-2.092807,6.468038,-14.402897,23.021449,46.993474,11.723168
643414577159300524!,great-wine-beetle,0.470000,-0.318201,0.592858,-1.447094,-0.394867,1.199318,3.318931,-1.859619,6.815059,-15.866741,19.256422,43.898360,12.826202
643414577159300524!,great-wine-beetle,0.480000,-0.305219,0.627224,-1.464425,-0.324743,1.407375,3.483927,-1.578982,7.120403,-17.205523,15.268714,40.365822,13.827114
