ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4,U5,U6
2128972724180506549!,thoughtful-antique-butterfly,0.000000,0.082488,-1.440334,0.589829,0.494248,0.089835,0.491864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-13.434711,63.469250,-5.335038,-18.743103,8.525197,127.782249
2128972724180506549!,thoughtful-antique-butterfly,0.010000,0.079242,-1.437888,0.589739,0.495864,0.089754,0.491878,-0.648443,0.488520,-0.018582,0.322242,-0.016037,0.002926,-23.695523,31.476084,4.137215,0.259101,11.507761,84.130775
2128972724180506549!,thoughtful-antique-butterfly,0.020000,0.071449,-1.431124,0.589556,0.500602,0.089632,0.491901,-0.909976,0.863017,-0.019107,0.624078,-0.008271,0.001507,-27.777432,17.354450,8.256717,8.373850,12.759185,64.403642
2128972724180506549!,thoughtful-antique-butterfly,0.030000,0.061878,-1.420903,0.589375,0.508280,0.089644,0.491898,-1.004747,1.180091,-0.018817,0.910508,0.011097,-0.002022,-28.998458,10.970846,10.157318,11.638026,13.368433,54.935685
2128972724180506549!,thoughtful-antique-butterfly,0.040000,0.051712,-1.407683,0.589155,0.518753,0.089879,0.491855,-1.029553,1.462551,-0.027456,1.182982,0.036635,-0.006695,-28.852503,7.878368,11.204490,12.726704,13.802694,49.758119
2128972724180506549!,thoughtful-antique-butterfly,0.050000,0.041440,-1.391764,0.588777,0.531884,0.090389,0.491762,-1.026830,1.718887,-0.051130,1.441271,0.065872,-0.012108,-28.017262,6.119494,11.982273,12.833418,14.249138,46.249615
2128972724180506549!,thoughtful-antique-butterfly,0.060000,0.031245,-1.373396,0.588068,0.547528,0.091205,0.491611,-1.014980,1.951162,-0.093956,1.684183,0.097619,-0.018110,-26.808820,4.835190,12.727808,12.497416,14.769123,43.263118
2128972724180506549!,thoughtful-antique-butterfly,0.070000,0.021184,-1.352821,0.586824,0.565525,0.092350,0.491398,-1.001745,2.158438,-0.158770,1.909880,0.131239,-0.024664,-25.384399,3.655376,13.523218,11.968160,15.367344,40.309284
2128972724180506549!,thoughtful-antique-butterfly,0.080000,0.011254,-1.330300,0.584813,0.585693,0.093839,0.491115,-0.990168,2.338362,-0.247442,2.116024,0.166295,-0.031775,-23.833386,2.428099,14.380908,11.367870,16.022601,37.194593
2128972724180506549!,thoughtful-antique-butterfly,0.090000,0.001435,-1.306122,0.581789,0.607824,0.095686,0.490759,-0.981125,2.487977,-0.360947,2.299925,0.202438,-0.039471,-22.215168,1.104278,15.281081,10.759897,16.702205,33.867367
2128972724180506549!,thoughtful-antique-butterfly,0.100000,-0.008306,-1.280621,0.577505,0.631662,0.097897,0.490322,-0.974611,2.604278,-0.499413,2.458706,0.239242,-0.047767,-20.578912,-0.320922,16.190128,10.183972,17.368561,30.339465
