ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3
1567203498038683880!,talented-steel-butterfly,0.000000,1.382094,0.434754,0.382679,0.468966,0.929788,-0.368096,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1020.630418,-609.701761,-221.901344
1567203498038683880!,talented-steel-butterfly,0.010000,1.376282,0.423385,0.377023,0.461877,0.927965,-0.372666,-1.163186,-2.270602,-1.130300,-1.416882,-0.366518,-0.912654,676.827808,-414.153606,-140.408827
1567203498038683880!,talented-steel-butterfly,0.020000,1.360590,0.393068,0.361832,0.442895,0.922996,-0.384810,-1.977012,-3.788649,-1.906617,-2.377622,-0.630584,-1.512503,440.451960,-279.785274,-84.260024
1567203498038683880!,talented-steel-butterfly,0.030000,1.337912,0.350125,0.340075,0.415850,0.915700,-0.401864,-2.556194,-4.789416,-2.439988,-3.025183,-0.830366,-1.892098,274.180776,-184.017625,-45.379318
1567203498038683880!,talented-steel-butterfly,0.040000,1.310267,0.298967,0.313839,0.383419,0.906622,-0.421944,-2.966428,-5.426875,-2.799020,-3.451659,-0.985009,-2.116466,156.044692,-114.440130,-18.546873
1567203498038683880!,talented-steel-butterfly,0.050000,1.279141,0.242716,0.284647,0.347507,0.896163,-0.443725,-3.250150,-5.807116,-3.030231,-3.720017,-1.105300,-2.232303,72.129915,-63.623697,-0.227840
1567203498038683880!,talented-steel-butterfly,0.060000,1.245661,0.183588,0.253618,0.309486,0.884636,-0.466282,-3.437678,-6.005626,-3.167288,-3.875020,-1.198297,-2.273422,13.047732,-26.699759,12.043884
1567203498038683880!,talented-steel-butterfly,0.070000,1.210687,0.123146,0.221579,0.270339,0.872292,-0.488985,-3.552136,-6.077064,-3.235485,-3.949230,-1.269295,-2.264276,-27.870968,-0.207780,20.024495
1567203498038683880!,talented-steel-butterfly,0.080000,1.174865,0.062469,0.189128,0.230760,0.859334,-0.511415,-3.611688,-6.061203,-3.254079,-3.966559,-1.322605,-2.222380,-55.533552,18.455815,24.980782
1567203498038683880!,talented-steel-butterfly,0.090000,1.138676,0.002288,0.156688,0.191231,0.845921,-0.533308,-3.630654,-5.986874,-3.237693,-3.944551,-1.361824,-2.160092,-73.612800,31.302707,27.830559
1567203498038683880!,talented-steel-butterfly,0.100000,1.102471,-0.056915,0.124555,0.152083,0.832181,-0.554504,-3.620189,-5.874750,-3.197290,-3.895980,-1.389935,-2.085969,-84.863126,39.892586,29.236802
1567203498038683880!,talented-steel-butterfly,0.110000,1.066503,-0.114839,0.092929,0.113535,0.818214,-0.574914,-3.588836,-5.739431,-3.140941,-3.830024,-1.409364,-2.005798,-91.333474,45.421897,29.674210
1567203498038683880!,talented-steel-butterfly,0.120000,1.030944,-0.171307,0.061937,0.075724,0.804096,-0.594500,-3.542996,-5.591026,-3.074468,-3.753174,-1.422039,-1.923391,-94.526452,48.792365,29.478233
1567203498038683880!,talented-steel-butterfly,0.130000,0.995914,-0.226230,0.031656,0.038734,0.789886,-0.613254,-3.487378,-5.436394,-3.001986,-3.669951,-1.429455,-1.841173,-95.525255,50.669867,28.882354
1567203498038683880!,talented-steel-butterfly,0.140000,0.961491,-0.279573,0.002130,0.002609,0.775631,-0.631187,-3.425382,-5.280078,-2.926343,-3.583447,-1.432744,-1.760621,-95.095877,51.535622,28.046267
1567203498038683880!,talented-steel-butterfly,0.150000,0.927725,-0.331336,-0.026620,-0.032629,0.761367,-0.648321,-3.359416,-5.124996,-2.849465,-3.495745,-1.432753,-1.682579,-93.769518,51.730318,27.077115
1567203498038683880!,talented-steel-butterfly,0.160000,0.894645,-0.381544,-0.054591,-0.066978,0.747124,-0.664684,-3.291157,-4.972955,-2.772620,-3.408218,-1.430106,-1.607480,-91.907294,51.490455,26.045283
1567203498038683880!,talented-steel-butterfly,0.170000,0.862267,-0.430236,-0.081787,-0.100444,0.732926,-0.680309,-3.221755,-4.825013,-2.696614,-3.321754,-1.425262,-1.535496,-89.749674,50.977155,24.995894
1567203498038683880!,talented-steel-butterfly,0.180000,0.830597,-0.477456,-0.108222,-0.133043,0.718792,-0.695225,-3.151982,-4.681738,-2.621939,-3.236916,-1.418555,-1.466642,-87.453238,50.298206,23.956994
1567203498038683880!,talented-steel-butterfly,0.190000,0.799630,-0.523264,-0.133914,-0.164800,0.704738,-0.709468,-3.082347,-4.543367,-2.548871,-3.154038,-1.410249,-1.400846,-85.119473,49.526033,22.945438
1567203498038683880!,talented-steel-butterfly,0.200000,0.769350,-0.567726,-0.158891,-0.195746,0.690772,-0.723073,-3.013177,-4.409928,-2.477545,-3.073308,-1.400553,-1.337989,-82.812543,48.708688,21.970708
1567203498038683880!,talented-steel-butterfly,0.210000,0.739754,-0.610890,-0.183168,-0.225902,0.676909,-0.736067,-2.944670,-4.281358,-2.408011,-2.994837,-1.389603,-1.277921,-80.566029,47.873567,21.036948
1567203498038683880!,talented-steel-butterfly,0.220000,0.710834,-0.652802,-0.206763,-0.255292,0.663161,-0.748477,-2.876942,-4.157532,-2.340262,-2.918682,-1.377509,-1.220491,-78.397849,47.037483,20.145334
