ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3
1813506916820100743!,rebel-mauve-beetle,0.000000,-1.806083,-1.588326,-1.909841,-0.593724,0.000000,0.000000,0.000000,0.000000,440.631970,1451.000538,-1578.095485
1813506916820100743!,rebel-mauve-beetle,0.010000,-1.814999,-1.575008,-1.914075,-0.579929,-1.778646,2.665763,-0.836109,2.759607,145.345735,361.629007,-498.426125
1813506916820100743!,rebel-mauve-beetle,0.020000,-1.832807,-1.543616,-1.923533,-0.547740,-1.778958,3.611671,-1.047428,3.678315,81.555360,131.303903,-266.133673
1813506916820100743!,rebel-mauve-beetle,0.030000,-1.848808,-1.504709,-1.934311,-0.508371,-1.418331,4.167050,-1.102302,4.194171,66.019838,80.198550,-210.504226
1813506916820100743!,rebel-mauve-beetle,0.040000,-1.860861,-1.460781,-1.945347,-0.464356,-0.992949,4.613635,-1.099131,4.604632,60.357598,65.216583,-190.917990
1813506916820100743!,rebel-mauve-beetle,0.050000,-1.868609,-1.412611,-1.956162,-0.416451,-0.560995,5.012642,-1.057853,4.968973,56.643413,57.175956,-178.408120
1813506916820100743!,rebel-mauve-beetle,0.060000,-1.872040,-1.360600,-1.966400,-0.365062,-0.133646,5.377850,-0.983445,5.297303,53.221695,50.317384,-166.987102
1813506916820100743!,rebel-mauve-beetle,0.070000,-1.871213,-1.305072,-1.975742,-0.310550,0.286004,5.712040,-0.878588,5.589635,49.715899,43.589908,-155.342100
1813506916820100743!,rebel-mauve-beetle,0.080000,-1.866217,-1.246338,-1.983897,-0.253286,0.695418,6.014805,-0.746107,5.843979,46.024985,36.887622,-143.154126
1813506916820100743!,rebel-mauve-beetle,0.090000,-1.857168,-1.184721,-1.990602,-0.193663,1.091387,6.284485,-0.589393,6.058189,42.123739,30.297624,-130.365051
1813506916820100743!,rebel-mauve-beetle,0.100000,-1.844223,-1.120568,-1.995633,-0.132097,1.470063,6.518885,-0.412419,6.230535,38.023304,23.946984,-117.031866
