ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3
963192480038646387!,thoughtful-steel-butterfly,0.000000,-2.109967,-0.053881,-0.355038,0.905403,-0.285883,0.410208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,723.296836,-339.114363,105.957134
963192480038646387!,thoughtful-steel-butterfly,0.010000,-2.113461,-0.043918,-0.353498,0.906096,-0.285022,0.410807,-0.693647,1.991715,0.307053,0.137851,0.171720,0.119141,416.430021,-130.523369,-15.542387
963192480038646387!,thoughtful-steel-butterfly,0.020000,-2.121214,-0.018655,-0.348896,0.908109,-0.282516,0.412535,-0.850201,3.061221,0.612713,0.263587,0.329501,0.225652,265.366837,-31.427468,-71.058551
963192480038646387!,thoughtful-steel-butterfly,0.030000,-2.129220,0.015051,-0.341282,0.911309,-0.278482,0.415269,-0.746849,3.677579,0.908899,0.374538,0.476961,0.319853,188.426639,14.765895,-94.257449
963192480038646387!,thoughtful-steel-butterfly,0.040000,-2.135582,0.053768,-0.330768,0.915537,-0.273013,0.418884,-0.524387,4.060788,1.191021,0.468188,0.615689,0.401283,147.134422,35.455412,-101.849531
963192480038646387!,thoughtful-steel-butterfly,0.050000,-2.139451,0.095686,-0.317503,0.920612,-0.266191,0.423252,-0.251497,4.316482,1.457081,0.542880,0.746659,0.469588,123.218462,43.786195,-101.923729
963192480038646387!,thoughtful-steel-butterfly,0.060000,-2.140489,0.139789,-0.301647,0.926340,-0.258089,0.428241,0.038659,4.496478,1.706327,0.597712,0.870488,0.524618,107.939135,46.066214,-98.372199
963192480038646387!,thoughtful-steel-butterfly,0.070000,-2.138616,0.185439,-0.283386,0.932514,-0.248783,0.433713,0.329981,4.626906,1.938505,0.632421,0.987511,0.566448,97.080610,45.343686,-93.078049
963192480038646387!,thoughtful-steel-butterfly,0.080000,-2.133878,0.232203,-0.262906,0.938931,-0.238348,0.439534,0.614515,4.721495,2.153494,0.647243,1.097842,0.595332,88.587181,43.108254,-86.962768
963192480038646387!,thoughtful-steel-butterfly,0.090000,-2.126359,0.279765,-0.240375,0.945394,-0.226850,0.445577,0.888206,4.787929,2.351173,0.642779,1.201434,0.611667,81.437184,40.102315,-80.486317
