ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4,U5,U6
760434176608443542!,talented-antique-butterfly,0.000000,1.246422,-0.472507,0.772613,0.408121,0.806447,-0.591307,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-477.743743,179.893637,-356.511746,290.555711,-346.429719,519.483468
760434176608443542!,talented-antique-butterfly,0.010000,1.233447,-0.479519,0.764597,0.403759,0.803363,-0.595489,-2.593317,-1.398275,-1.602256,-0.872213,-0.618225,-0.834036,-317.438023,120.817153,-235.893304,192.300770,-228.822972,348.315791
760434176608443542!,talented-antique-butterfly,0.020000,1.198800,-0.498103,0.743207,0.392085,0.795029,-0.606571,-4.334123,-2.311328,-2.673822,-1.461597,-1.050879,-1.377380,-208.925482,80.455253,-153.733966,125.860885,-148.744790,232.125913
760434176608443542!,talented-antique-butterfly,0.030000,1.149586,-0.524127,0.712858,0.375466,0.782959,-0.622073,-5.501254,-2.883190,-3.391283,-1.858855,-1.363681,-1.716367,-133.004496,52.205241,-96.439207,79.416251,-92.923853,150.675371
760434176608443542!,talented-antique-butterfly,0.040000,1.090707,-0.554663,0.676565,0.355549,0.768170,-0.640246,-6.267127,-3.215216,-3.862379,-2.121068,-1.593919,-1.912390,-79.058099,32.244585,-56.124414,46.438873,-53.663118,92.720885
760434176608443542!,talented-antique-butterfly,0.050000,1.025603,-0.587675,0.636439,0.333494,0.751371,-0.659880,-6.746858,-3.379994,-4.158561,-2.286525,-1.764881,-2.009579,-40.677576,18.167010,-27.830777,22.994851,-26.123105,51.436095
760434176608443542!,talented-antique-butterfly,0.060000,0.956733,-0.621751,0.593980,0.310134,0.733078,-0.680144,-7.021740,-3.429822,-4.330255,-2.382111,-1.892400,-2.039680,-13.640006,8.339594,-8.212325,6.498366,-7.040787,22.291422
760434176608443542!,talented-antique-butterfly,0.070000,0.885859,-0.655927,0.550251,0.286075,0.713670,-0.700482,-7.151013,-3.402258,-4.414321,-2.427256,-1.987903,-2.025330,5.046199,1.591406,5.112048,-4.878141,5.903863,2.059359
760434176608443542!,talented-antique-butterfly,0.080000,0.814223,-0.689563,0.505997,0.261751,0.693426,-0.720528,-7.178303,-3.324044,-4.438046,-2.436200,-2.059904,-1.982424,17.601254,-2.943305,13.892943,-12.489340,14.415510,-11.661397
760434176608443542!,talented-antique-butterfly,0.090000,0.742690,-0.722245,0.461721,0.237472,0.672551,-0.740051,-7.135608,-3.213984,-4.421567,-2.419417,-2.114787,-1.921897,25.705901,-5.910346,19.434209,-17.360993,19.763648,-20.686355
760434176608443542!,talented-antique-butterfly,0.100000,0.671847,-0.753721,0.417755,0.213459,0.651192,-0.758913,-7.046094,-3.085124,-4.379544,-2.384582,-2.157291,-1.851085,30.632511,-7.788461,22.705235,-20.270834,22.892519,-26.383780
760434176608443542!,talented-antique-butterfly,0.110000,0.602084,-0.783847,0.374301,0.189865,0.629458,-0.777034,-6.926234,-2.946387,-4.322454,-2.337277,-2.190861,-1.774767,33.333064,-8.927260,24.418892,-21.802253,24.497101,-29.770381
760434176608443542!,talented-antique-butterfly,0.120000,0.533647,-0.812555,0.331473,0.166794,0.607425,-0.794377,-6.787498,-2.803805,-4.257606,-2.281541,-2.217922,-1.695948,34.507558,-9.577112,25.091187,-22.385672,25.081101,-31.587151
760434176608443542!,talented-antique-butterfly,0.130000,0.466687,-0.839828,0.289323,0.144317,0.585151,-0.810924,-6.637698,-2.661416,-4.189967,-2.220282,-2.240114,-1.616434,34.660877,-9.913469,25.089030,-22.332834,25.003279,-32.362762
760434176608443542!,talented-antique-butterfly,0.140000,0.401290,-0.865683,0.247861,0.122477,0.562679,-0.826675,-6.482027,-2.521918,-4.122796,-2.155608,-2.258490,-1.537249,34.150239,-10.056465,24.668546,-21.865438,24.514625,-32.466290
760434176608443542!,talented-antique-butterfly,0.150000,0.337497,-0.890158,0.207071,0.101300,0.540045,-0.841636,-6.323841,-2.387115,-4.058137,-2.089063,-2.273667,-1.458923,33.223818,-10.086306,24.005252,-21.138501,23.787617,-32.149812
760434176608443542!,talented-antique-butterfly,0.160000,0.275322,-0.913309,0.166919,0.080798,0.517279,-0.855817,-6.165246,-2.258231,-3.997180,-2.021812,-2.285951,-1.381692,32.051110,-10.055001,23.217160,-20.258783,22.938674,-31.581639
760434176608443542!,talented-antique-butterfly,0.170000,0.214765,-0.935199,0.127364,0.060974,0.494411,-0.869228,-6.007512,-2.136114,-3.940529,-1.954763,-2.295438,-1.305629,30.746022,-9.995036,22.382009,-19.298831,22.044888,-30.871411
760434176608443542!,talented-antique-butterfly,0.180000,0.155783,-0.955909,0.088347,0.041814,0.471464,-0.881885,-5.851328,-2.021332,-3.888361,-1.888655,-2.302145,-1.230749,29.385792,-9.926388,21.551061,-18.308480,21.157429,-30.090676
