ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4,U5,U6
359327136631334324!,talented-antique-butterfly,0.000000,-0.000349,2.144941,-0.735599,1.467145,-0.878668,0.477433,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,300.770225,134.001924,111.319586,-271.861784,151.622209,54.551953
359327136631334324!,talented-antique-butterfly,0.010000,0.004793,2.134645,-0.735074,1.461891,-0.881259,0.472634,1.023728,-2.059018,0.106564,-1.050358,-0.514133,-0.958636,250.797743,108.584327,103.475782,-227.288685,137.236625,47.371549
359327136631334324!,talented-antique-butterfly,0.020000,0.018740,2.105435,-0.733815,1.446906,-0.888469,0.458937,1.758382,-3.784943,0.149429,-1.946262,-0.918950,-1.779020,212.447016,89.172137,94.549286,-192.577368,123.074460,39.907340
359327136631334324!,talented-antique-butterfly,0.030000,0.038956,2.060167,-0.732213,1.423538,-0.899182,0.437575,2.276200,-5.267397,0.177370,-2.725018,-1.211628,-2.489797,179.433669,73.361845,83.097760,-162.390177,107.012725,32.411822
359327136631334324!,talented-antique-butterfly,0.040000,0.063547,2.001045,-0.730257,1.392872,-0.912276,0.409577,2.631260,-6.546151,0.221388,-3.400723,-1.392654,-3.101946,148.545141,59.671750,69.186786,-134.036626,88.777231,25.127215
359327136631334324!,talented-antique-butterfly,0.050000,0.091079,1.930030,-0.727699,1.355920,-0.926656,0.375911,2.862858,-7.633894,0.297833,-3.975737,-1.467435,-3.617361,118.392510,47.278288,53.561698,-106.406700,68.983427,18.340045
359327136631334324!,talented-antique-butterfly,0.060000,0.120454,1.849036,-0.724187,1.313703,-0.941305,0.337557,2.999592,-8.531525,0.411541,-4.448134,-1.446892,-4.034773,88.757780,35.838366,37.235685,-79.399296,48.648743,12.350464
359327136631334324!,talented-antique-butterfly,0.070000,0.150815,1.760016,-0.719364,1.267281,-0.955336,0.295521,3.062838,-9.238226,0.559025,-4.816445,-1.346753,-4.353666,60.167053,25.337652,21.255683,-53.539245,28.903770,7.411273
359327136631334324!,talented-antique-butterfly,0.080000,0.181503,1.664898,-0.712936,1.217707,-0.968041,0.250794,3.069017,-9.757527,0.731589,-5.082380,-1.185660,-4.576543,33.526889,15.943426,6.538221,-29.649701,10.780344,3.668232
359327136631334324!,talented-antique-butterfly,0.090000,0.212009,1.565523,-0.704707,1.165985,-0.978906,0.204312,3.031337,-10.100261,0.918315,-5.252061,-0.983031,-4.709937,9.792518,7.865944,-6.237067,-8.559394,-4.936012,1.129076
