ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4
1878603104524047239!,talented-zippy-butterfly,0.000000,0.082488,-1.440334,-0.872029,-1.738490,-0.644312,-0.764763,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-289.846450,133.472813,-182.506439,-871.170296
1878603104524047239!,talented-zippy-butterfly,0.010000,0.077417,-1.432329,-0.875334,-1.736082,-0.646985,-0.762503,-1.015453,1.597311,-0.659925,0.482164,-0.533233,0.452449,-164.253218,113.286468,-117.503940,-591.141349
1878603104524047239!,talented-zippy-butterfly,0.020000,0.064169,-1.410437,-0.883478,-1.729757,-0.654081,-0.756424,-1.637688,2.775644,-0.966364,0.783355,-0.883281,0.763774,-82.789045,97.360049,-72.415153,-399.226875
1878603104524047239!,talented-zippy-butterfly,0.030000,0.045968,-1.378325,-0.893479,-1.721022,-0.664037,-0.747699,-2.008655,3.642643,-1.031758,0.964641,-1.105840,0.982104,-30.488725,84.275454,-40.276023,-265.265568
1878603104524047239!,talented-zippy-butterfly,0.040000,0.024873,-1.338742,-0.903305,-1.710877,-0.675778,-0.737106,-2.216581,4.269783,-0.931680,1.064986,-1.240288,1.137095,2.047271,73.375157,-16.908248,-171.088223
1878603104524047239!,talented-zippy-butterfly,0.050000,0.002241,-1.293828,-0.911556,-1.699999,-0.688559,-0.725180,-2.316645,4.708897,-0.717793,1.111828,-1.314793,1.248396,20.787465,64.313364,0.295431,-105.373480
1878603104524047239!,talented-zippy-butterfly,0.060000,-0.021027,-1.245257,-0.917272,-1.688817,-0.701888,-0.712287,-2.343327,5.000389,-0.426009,1.126314,-1.349764,1.330058,29.553818,56.863700,13.036551,-60.811349
1878603104524047239!,talented-zippy-butterfly,0.070000,-0.044301,-1.194340,-0.919796,-1.677568,-0.715444,-0.698671,-2.317913,5.177511,-0.081580,1.125804,-1.360041,1.392692,30.821760,50.842093,22.478901,-32.495009
1878603104524047239!,talented-zippy-butterfly,0.080000,-0.067119,-1.142085,-0.918686,-1.666330,-0.729033,-0.684479,-2.253275,5.268631,0.297509,1.125218,-1.356394,1.444684,26.221371,46.078392,29.459510,-16.984003
1878603104524047239!,talented-zippy-butterfly,0.090000,-0.089120,-1.089229,-0.913657,-1.655038,-0.742556,-0.669784,-2.156890,5.298495,0.698311,1.137698,-1.346509,1.492806,16.853699,42.409994,34.605101,-11.762379
1878603104524047239!,talented-zippy-butterfly,0.100000,-0.110003,-1.036278,-0.904534,-1.643501,-0.755978,-0.654598,-2.032835,5.288978,1.111356,1.174915,-1.335655,1.542513,3.498167,39.683144,38.396716,-14.912884
1878603104524047239!,talented-zippy-butterfly,0.110000,-0.129494,-0.983528,-0.891227,-1.631419,-0.769307,-0.638879,-1.883189,5.259551,1.529525,1.247185,-1.327150,1.598089,-13.242342,37.755368,41.205641,-24.906727
1878603104524047239!,talented-zippy-butterfly,0.120000,-0.147336,-0.931091,-0.873710,-1.618392,-0.782578,-0.622553,-1.709063,5.227548,1.947188,1.363442,-1.322684,1.662676,-32.830475,36.496035,43.313509,-40.451788
1878603104524047239!,talented-zippy-butterfly,0.130000,-0.163283,-0.878913,-0.852008,-1.603936,-0.795834,-0.605515,-1.511432,5.208256,2.359529,1.531094,-1.322564,1.738259,-54.701888,35.783966,44.923351,-60.369370
1878603104524047239!,talented-zippy-butterfly,0.140000,-0.177099,-0.826796,-0.826195,-1.587503,-0.809116,-0.587649,-1.291803,5.214821,2.762018,1.755774,-1.325905,1.825600,-78.184807,35.502142,46.165124,-83.487078
1878603104524047239!,talented-zippy-butterfly,0.150000,-0.188568,-0.774423,-0.796389,-1.568496,-0.822451,-0.568836,-1.052772,5.257956,3.149978,2.040972,-1.330814,1.924155,-102.432542,35.530315,47.097849,-108.547003
1878603104524047239!,talented-zippy-butterfly,0.160000,-0.197506,-0.721381,-0.762759,-1.546299,-0.835840,-0.548973,-0.798432,5.345505,3.518275,2.387599,-1.334594,2.031992,-126.376201,35.737001,47.710502,-134.136673
1878603104524047239!,talented-zippy-butterfly,0.170000,-0.203823,-0.667204,-0.725561,-1.520309,-0.849252,-0.527988,-0.534532,5.482027,3.861190,2.793714,-1.334260,2.146113,-148.707893,35.970791,47.927229,-158.645117
1878603104524047239!,talented-zippy-butterfly,0.180000,-0.207512,-0.611407,-0.685124,-1.489978,-0.862618,-0.505856,-0.268533,5.668264,4.172330,3.254100,-1.326667,2.262317,-167.919854,36.059348,47.614992,-180.291528
1878603104524047239!,talented-zippy-butterfly,0.190000,-0.208604,-0.553519,-0.641804,-1.454816,-0.875846,-0.482590,-0.009524,5.900491,4.444598,3.759656,-1.308472,2.374731,-182.403806,35.817380,46.595681,-197.230565
1878603104524047239!,talented-zippy-butterfly,0.200000,-0.207225,-0.493124,-0.596028,-1.414445,-0.888814,-0.458268,0.232264,6.170447,4.670485,4.297491,-1.276816,2.476397,-190.608285,35.057076,44.679087,-207.692980
1878603104524047239!,talented-zippy-butterfly,0.210000,-0.203604,-0.429915,-0.548295,-1.368631,-0.901375,-0.433038,0.446169,6.465589,4.842511,4.851280,-1.229727,2.559695,-191.262055,33.610142,41.704433,-210.208060
1878603104524047239!,talented-zippy-butterfly,0.220000,-0.198072,-0.363722,-0.499176,-1.317313,-0.913372,-0.407125,0.622038,6.769889,4.953827,5.402091,-1.166474,2.616945,-183.622534,31.355671,37.588339,-203.854915
