ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4,U5,U6
273491998894494238!,thoughtful-antique-butterfly,0.000000,-2.109967,-0.053881,-0.111285,0.018719,-0.138049,-0.480565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.979426,273.310825,-171.369400,-109.301101,-123.473063,359.141892
273491998894494238!,thoughtful-antique-butterfly,0.010000,-2.109788,-0.037486,-0.110575,0.018628,-0.137826,-0.480629,0.047614,3.274775,0.140031,-0.017806,0.043771,-0.012552,34.579945,137.419289,-78.364570,-68.503579,-53.586426,168.676268
273491998894494238!,thoughtful-antique-butterfly,0.020000,-2.108266,0.003266,-0.108323,0.018321,-0.137037,-0.480854,0.271482,4.872430,0.308487,-0.043448,0.112998,-0.032203,35.385770,70.403383,-32.865463,-47.698467,-19.521218,75.376750
273491998894494238!,thoughtful-antique-butterfly,0.030000,-2.104001,0.055834,-0.104364,0.017743,-0.135515,-0.481285,0.590868,5.637601,0.482107,-0.071926,0.190881,-0.053746,33.816756,37.012991,-11.017417,-35.925203,-3.443302,30.114898
273491998894494238!,thoughtful-antique-butterfly,0.040000,-2.096355,0.113954,-0.098712,0.016882,-0.133218,-0.481926,0.942069,5.981833,0.646521,-0.100212,0.267729,-0.074008,30.976151,20.003707,-0.752593,-28.467507,3.805212,8.316573
273491998894494238!,thoughtful-antique-butterfly,0.050000,-2.085188,0.174417,-0.091492,0.015745,-0.130179,-0.482756,1.290699,6.106692,0.794603,-0.126709,0.338672,-0.091326,27.567628,11.008982,3.860864,-23.158668,6.751143,-2.040752
273491998894494238!,thoughtful-antique-butterfly,0.060000,-2.070614,0.235521,-0.082880,0.014355,-0.126468,-0.483742,1.620206,6.112013,0.923389,-0.150635,0.401492,-0.104965,23.958516,5.977504,5.708313,-18.968850,7.600637,-6.793839
273491998894494238!,thoughtful-antique-butterfly,0.070000,-2.052868,0.296319,-0.073074,0.012739,-0.122169,-0.484845,1.922949,6.048254,1.032030,-0.171631,0.455307,-0.114727,20.333585,2.945713,6.191959,-15.403909,7.427031,-8.775098
273491998894494238!,thoughtful-antique-butterfly,0.080000,-2.032242,0.356249,-0.062280,0.010928,-0.117378,-0.486027,2.195539,5.941843,1.120744,-0.189565,0.499916,-0.120732,16.790443,0.959501,5.997608,-12.229551,6.756717,-9.364804
273491998894494238!,thoughtful-antique-butterfly,0.090000,-2.009052,0.414961,-0.050696,0.008953,-0.112187,-0.487251,2.436676,5.807439,1.190289,-0.204435,0.535463,-0.123288,13.386472,-0.445885,5.465118,-9.338992,5.852409,-9.240165
273491998894494238!,thoughtful-antique-butterfly,0.100000,-1.983616,0.472218,-0.038512,0.006845,-0.106686,-0.488485,2.646189,5.653884,1.241721,-0.216317,0.562288,-0.122805,10.159686,-1.498008,4.767012,-6.687402,4.849382,-8.737481
273491998894494238!,thoughtful-antique-butterfly,0.110000,-1.956250,0.527859,-0.025904,0.004634,-0.100961,-0.489701,2.824638,5.487088,1.276268,-0.225342,0.580855,-0.119754,7.137019,-2.310200,3.994500,-4.258535,3.820756,-8.027784
