ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4
1417013860091673374!,thoughtful-zippy-butterfly,0.000000,1.246422,-0.472507,-0.482930,0.532153,-0.498949,0.032409,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-554.777553,-391.298067,268.909835,600.565084
1417013860091673374!,thoughtful-zippy-butterfly,0.010000,1.235209,-0.490263,-0.484160,0.531388,-0.499000,0.031608,-2.254687,-3.537589,-0.244048,-0.153820,-0.010183,-0.160764,-286.341420,-172.309089,131.234638,238.779687
1417013860091673374!,thoughtful-zippy-butterfly,0.020000,1.206724,-0.533280,-0.487437,0.529650,-0.499112,0.029787,-3.455524,-5.049508,-0.409577,-0.194702,-0.012174,-0.203984,-162.684153,-71.078962,67.066699,70.240498
1417013860091673374!,thoughtful-zippy-butterfly,0.030000,1.168589,-0.586645,-0.492166,0.527759,-0.499226,0.027808,-4.175393,-5.610120,-0.534749,-0.184602,-0.010695,-0.192003,-104.050295,-24.319801,36.122711,-8.012406
1417013860091673374!,thoughtful-zippy-butterfly,0.040000,1.124463,-0.643359,-0.498015,0.526071,-0.499320,0.026073,-4.652418,-5.727917,-0.634688,-0.153681,-0.008110,-0.155317,-74.975383,-2.635946,20.448519,-44.333037
1417013860091673374!,thoughtful-zippy-butterfly,0.050000,1.076228,-0.700203,-0.504770,0.524725,-0.499387,0.024754,-4.995102,-5.638941,-0.716237,-0.116265,-0.005384,-0.108612,-59.415517,7.497979,11.892117,-61.096855
1417013860091673374!,thoughtful-zippy-butterfly,0.060000,1.024971,-0.755664,-0.512266,0.523751,-0.499428,0.023916,-5.255261,-5.452651,-0.782913,-0.079054,-0.002826,-0.059018,-50.064236,12.287020,6.718550,-68.620230
1417013860091673374!,thoughtful-zippy-butterfly,0.070000,0.971394,-0.809029,-0.520365,0.523133,-0.499444,0.023571,-5.458397,-5.220437,-0.836772,-0.045126,-0.000477,-0.010103,-43.596851,14.578162,3.210913,-71.671793
1417013860091673374!,thoughtful-zippy-butterfly,0.080000,0.916003,-0.859966,-0.528945,0.522831,-0.499438,0.023702,-5.617558,-4.967107,-0.879232,-0.015809,0.001721,0.036270,-38.513414,15.680021,0.580436,-72.473647
1417013860091673374!,thoughtful-zippy-butterfly,0.090000,0.859205,-0.908324,-0.537899,0.522796,-0.499410,0.024279,-5.739921,-4.705263,-0.911458,0.008433,0.003845,0.079100,-34.150055,16.195981,-1.534101,-72.076751
1417013860091673374!,thoughtful-zippy-butterfly,0.100000,0.801346,-0.954050,-0.547129,0.522978,-0.499361,0.025265,-5.829959,-4.441826,-0.934515,0.027543,0.005960,0.117806,-30.221593,16.407167,-3.298545,-70.993244
1417013860091673374!,thoughtful-zippy-butterfly,0.110000,0.742738,-0.997147,-0.556551,0.523329,-0.499291,0.026618,-5.890956,-4.180978,-0.949443,0.041684,0.008107,0.152068,-26.610356,16.447511,-4.790916,-69.485410
1417013860091673374!,thoughtful-zippy-butterfly,0.120000,0.683665,-1.037649,-0.566086,0.523800,-0.499199,0.028294,-5.925683,-3.925495,-0.957273,0.051118,0.010300,0.181729,-23.269429,16.383639,-6.050829,-67.697683
1417013860091673374!,thoughtful-zippy-butterfly,0.130000,0.624382,-1.075616,-0.575669,0.524345,-0.499084,0.030245,-5.936693,-3.677354,-0.959025,0.056146,0.012529,0.206735,-20.178402,16.251668,-7.102329,-65.717897
1417013860091673374!,thoughtful-zippy-butterfly,0.140000,0.565111,-1.111137,-0.585242,0.524921,-0.498948,0.032424,-5.926429,-3.437988,-0.955674,0.057075,0.014759,0.227113,-17.323060,16.074436,-7.964501,-63.606288
1417013860091673374!,thoughtful-zippy-butterfly,0.150000,0.506057,-1.144305,-0.594759,0.525487,-0.498789,0.034783,-5.897207,-3.208477,-0.948168,0.054193,0.016942,0.242946,-14.692236,15.866252,-8.653367,-61.404535
1417013860091673374!,thoughtful-zippy-butterfly,0.160000,0.447399,-1.175223,-0.604182,0.526005,-0.498608,0.037278,-5.851228,-2.989623,-0.937403,0.047764,0.019018,0.254368,-12.273285,15.637738,-9.184582,-59.144762
1417013860091673374!,thoughtful-zippy-butterfly,0.170000,0.389299,-1.204001,-0.613483,0.526441,-0.498408,0.039863,-5.790567,-2.782007,-0.924208,0.038022,0.020918,0.261542,-10.052276,15.397094,-9.573647,-56.852602
1417013860091673374!,thoughtful-zippy-butterfly,0.180000,0.331895,-1.230754,-0.622641,0.526762,-0.498191,0.042497,-5.717150,-2.586030,-0.909340,0.025171,0.022576,0.264661,-8.014849,15.150645,-9.835736,-54.548956
1417013860091673374!,thoughtful-zippy-butterfly,0.190000,0.275309,-1.255601,-0.631643,0.526936,-0.497958,0.045139,-5.632753,-2.401947,-0.893477,0.009387,0.023926,0.263938,-6.147134,14.903110,-9.985442,-52.251137
1417013860091673374!,thoughtful-zippy-butterfly,0.200000,0.219643,-1.278663,-0.640482,0.526935,-0.497715,0.047751,-5.538999,-2.229890,-0.877214,-0.009177,0.024906,0.259599,-4.436477,14.657790,-10.036565,-49.973696
1417013860091673374!,thoughtful-zippy-butterfly,0.210000,0.164986,-1.300063,-0.649157,0.526730,-0.497464,0.050296,-5.437365,-2.069897,-0.861062,-0.030384,0.025466,0.251881,-2.871907,14.416739,-10.001975,-47.729066
1417013860091673374!,thoughtful-zippy-butterfly,0.220000,0.111411,-1.319922,-0.657673,0.526293,-0.497211,0.052741,-5.329188,-1.921922,-0.845453,-0.054117,0.025567,0.241027,-1.444366,14.180942,-9.893555,-45.528071
1417013860091673374!,thoughtful-zippy-butterfly,0.230000,0.058961,-1.338366,-0.666038,0.525601,-0.496960,0.055056,-5.215678,-1.785822,-0.830724,-0.080271,0.025179,0.227277,-0.143160,13.952405,-9.723674,-43.382559
1417013860091673374!,thoughtful-zippy-butterfly,0.240000,0.007595,-1.355540,-0.674267,0.524637,-0.496715,0.057224,-5.097913,-1.661258,-0.817094,-0.108784,0.024288,0.210825,1.055330,13.740105,-9.509583,-41.311900
1417013860091673374!,thoughtful-zippy-butterfly,0.250000,-0.042634,-1.371546,-0.682370,0.523379,-0.496481,0.059218,-4.976734,-1.548020,-0.804786,-0.139550,0.022892,0.191922,2.141595,13.534911,-9.253867,-39.312308
1417013860091673374!,thoughtful-zippy-butterfly,0.260000,-0.091682,-1.386489,-0.690360,0.521805,-0.496263,0.061016,-4.852976,-1.445882,-0.793956,-0.172469,0.021002,0.170815,3.111727,13.331773,-8.961823,-37.386310
1417013860091673374!,thoughtful-zippy-butterfly,0.270000,-0.139516,-1.400474,-0.698252,0.519894,-0.496066,0.062597,-4.727430,-1.354583,-0.784696,-0.207435,0.018644,0.147747,3.964208,13.127529,-8.639736,-35.539163
1417013860091673374!,thoughtful-zippy-butterfly,0.280000,-0.186114,-1.413604,-0.706060,0.517627,-0.495895,0.063942,-4.600825,-1.273820,-0.777039,-0.244341,0.015855,0.122960,4.698373,12.919845,-8.294022,-33.777049
1417013860091673374!,thoughtful-zippy-butterfly,0.290000,-0.231461,-1.425982,-0.713800,0.514984,-0.495753,0.065034,-4.473826,-1.203248,-0.770967,-0.283069,0.012684,0.096690,5.313791,12.706754,-7.930829,-32.106206
1417013860091673374!,thoughtful-zippy-butterfly,0.300000,-0.275551,-1.437704,-0.721487,0.511948,-0.495644,0.065860,-4.347035,-1.142479,-0.766410,-0.323497,0.009191,0.069171,5.810105,12.486482,-7.555885,-30.532516
1417013860091673374!,thoughtful-zippy-butterfly,0.310000,-0.318386,-1.448866,-0.729136,0.508501,-0.495571,0.066407,-4.220991,-1.091087,-0.763261,-0.365489,0.005444,0.040630,6.187082,12.257415,-7.174447,-29.061304
1417013860091673374!,thoughtful-zippy-butterfly,0.320000,-0.359971,-1.459559,-0.736759,0.504628,-0.495536,0.066665,-4.096174,-1.048613,-0.761376,-0.408902,0.001519,0.011289,6.444730,12.018111,-6.791303,-27.697231
